Date,Time,Booking_ID,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Canceled_Rides_by_Customer,Reason_for_Canceling_by_Customer,Driver_Not_Moving_Toward_Pickup,Driver_Asked_to_Cancel,AC_Not_Working,Canceled_Rides_by_Driver,Reason_for_Canceling_by_Driver,Incomplete_Rides,Incomplete_Ride_Reason,Booking_Value_INR,Ride_Distance_km,Driver_Rating,Customer_Rating,Overall_Booking_Status
07-10-2025,20:07,CNR6382993084,CUST56715,eBike,Sanjay Nagar,Ramamurthy Nagar,,,1,Wrong Address,No,No,No,0,,0,,185.76,6.5,,,Cancelled by Customer
20-10-2025,00:47,CNR3802628297,CUST85940,Mini,Basavanagudi,Bellandur,,,0,,No,No,No,1,Personal Car Issue,0,,730.17,2,,,Cancelled by Driver
29-10-2025,08:15,CNR7568993488,CUST82102,Auto,Cox Town,MG Road,11.01,15.91,0,,No,No,No,0,,0,,186.43,13.1,4.6,3,Success
15-10-2025,07:08,CNR8637221704,CUST49060,Prime SUV,Koramangala 5th Block,Varthur,,,1,Wrong Address,No,No,No,0,,0,,299.84,1.63,,,Cancelled by Customer
11-10-2025,23:06,CNR2584318050,CUST46963,Auto,Mahadevapura,Whitefield,,,0,,No,No,No,0,,1,Other Issue,716.2,11.69,,,Incomplete
08-10-2025,21:47,CNR9168560926,CUST32156,Prime SUV,Bellandur,Hoskote,,,1,Wrong Address,No,No,No,0,,0,,942.28,18.68,,,Cancelled by Customer
29-10-2025,17:05,CNR8854817439,CUST32364,Prime SUV,Whitefield Main Road,Basavanagudi,3.57,7.07,0,,No,No,No,0,,0,,1954.88,7.1,5,4.5,Success
21-10-2025,18:27,CNR8965620339,CUST12253,Mini,Hebbal,Kadugodi,,,0,,No,No,No,1,Personal Car Issue,0,,282.16,10.23,,,Cancelled by Driver
07-10-2025,01:01,CNR1300055947,CUST32142,Auto,Sanjay Nagar,Hennur,5.16,17.22,0,,No,No,No,0,,0,,358.08,2.51,4.3,5,Success
26-10-2025,02:13,CNR2290150103,CUST63311,Mini,Brookefield,Bannerghatta Road,,,0,,No,Yes,No,1,Customer Related Issue,0,,173.02,16.26,,,Cancelled by Driver
19-10-2025,07:32,CNR5638903225,CUST42434,eBike,Cox Town,Hennur,13.02,22.93,0,,No,No,No,0,,0,,697.06,6.32,3.9,4.7,Success
23-10-2025,19:01,CNR4242077300,CUST91324,Prime Plus,Lalbagh,Vijayanagar,7.82,14.56,0,,No,No,No,0,,0,,184.83,1.02,4,4.4,Success
11-10-2025,17:12,CNR6281539845,CUST32140,Auto,BTM 2nd Stage,KR Puram,14.96,21.6,0,,No,No,No,0,,0,,454.18,1.29,3,4.3,Success
11-10-2025,22:41,CNR6733409504,CUST22958,eBike,CV Raman Nagar,Nagawara,,,0,,No,No,No,0,,1,Vehicle Breakdown,126.57,10.97,,,Incomplete
24-10-2025,22:34,CNR5543706382,CUST38442,Mini,Whitefield,Hoodi,2.7,5.48,0,,No,No,No,0,,0,,394.69,10.33,3,4.5,Success
21-10-2025,13:14,CNR3813226705,CUST35761,Auto,Nagarbhavi,Brookefield,,,0,,No,No,No,1,Customer Related Issue,0,,753.4,18.33,,,Cancelled by Driver
04-10-2025,14:37,CNR9722611013,CUST58601,Prime SUV,Domlur,Whitefield Main Road,,,0,,No,No,No,1,Personal Car Issue,0,,841.27,14.28,,,Cancelled by Driver
08-10-2025,08:51,CNR2022124126,CUST27054,Prime SUV,Peenya,JP Nagar Phase 7,,,1,Wrong Address,Yes,No,No,0,,0,,202.71,12.88,,,Cancelled by Customer
24-10-2025,00:48,CNR1390313079,CUST98821,Prime Plus,Rajajinagar,Yelahanka,2.19,7.43,0,,No,No,No,0,,0,,280.14,2.5,3.8,4.5,Success
03-10-2025,05:44,CNR4064965728,CUST78750,Auto,CV Raman Nagar,Marathahalli,,,0,,No,No,No,0,,1,Customer Demand,455.91,10,,,Incomplete
22-10-2025,13:21,CNR9051225720,CUST18032,Mini,Nagawara,Ulsoor,9.44,21.65,0,,No,No,No,0,,0,,529.24,8.86,4.5,3.7,Success
21-10-2025,08:09,CNR2524641060,CUST62210,Prime Plus,Richmond Town,Banaswadi,,,0,,Yes,No,No,1,Personal Car Issue,0,,253.62,10.41,,,Cancelled by Driver
02-10-2025,06:48,CNR5879182300,CUST40236,Auto,BTM Layout,Brookefield,7.42,19.36,0,,No,No,No,0,,0,,244.53,15.72,4.4,4.9,Success
24-10-2025,10:06,CNR1729743372,CUST14608,Prime SUV,CV Raman Nagar,RT Nagar,,,0,,No,No,No,1,Customer Sick/Coughing,0,,683.14,9.83,,,Cancelled by Driver
12-10-2025,02:24,CNR4929770014,CUST10742,Prime SUV,Banaswadi,Ramamurthy Nagar,3.22,8.99,0,,No,No,No,0,,0,,250.48,16.93,3.1,4,Success
30-10-2025,03:22,CNR9119369547,CUST93530,Prime Plus,Domlur,JP Nagar Phase 7,,,0,,No,No,No,1,Too Many People,0,,267.56,9.94,,,Cancelled by Driver
06-10-2025,11:38,CNR3829347702,CUST32025,Mini,Kundalahalli,Hoodi,3.93,22.29,0,,No,No,No,0,,0,,367.9,14.18,4.4,3.8,Success
02-10-2025,08:51,CNR1255560725,CUST94542,Auto,Ramamurthy Nagar,Vijayanagar,2.52,21.2,0,,No+L30,No,No,0,,0,,263.64,10.54,3.7,4.1,Success
28-10-2025,01:46,CNR7743029802,CUST32684,Prime Plus,Hoskote,Nagawara,6.32,15.61,0,,No,No,No,0,,0,,906.53,17.81,4.2,4.6,Success
21-10-2025,14:34,CNR6660601798,CUST36913,Auto,Richmond Town,KR Puram,9.68,12.91,0,,No,No,No,0,,0,,381.09,6.3,4.5,3.3,Success
01-10-2025,03:59,CNR8951013935,CUST73445,Auto,Richmond Town,Brookefield,13.33,5.56,0,,No,No,No,0,,0,,291.47,13.28,3.4,4.7,Success
12-10-2025,12:05,CNR4898065264,CUST89276,Mini,Brookefield,Horamavu,2.55,24.15,0,,No,No,No,0,,0,,582.58,2.8,3.6,4.8,Success
26-10-2025,17:18,CNR7056290872,CUST92856,eBike,Hennur,Hoskote,11.69,11.31,0,,No,No,No,0,,0,,433.99,12.05,4.6,4.9,Success
22-10-2025,20:39,CNR4352900250,CUST21657,Prime Plus,Sanjay Nagar,Whitefield Main Road,6.74,11.6,0,,No,No,No,0,,0,,291.02,5.17,3.9,4.8,Success
29-10-2025,11:36,CNR1238882194,CUST25010,Mini,Marathahalli,Koramangala 5th Block,9.94,12.22,0,,No,No,No,0,,0,,112.56,8.68,3.7,3.2,Success
12-10-2025,06:45,CNR7512807624,CUST23088,Auto,Basavanagudi,Whitefield,4.15,7.59,0,,No,No,No,0,,0,,322.97,17.78,3.4,4.2,Success
25-10-2025,02:02,CNR7222939583,CUST78192,Mini,Whitefield Main Road,Hoodi,,,1,Change of Plans,No,No,No,0,,0,,607.1,11.73,,,Cancelled by Customer
17-10-2025,21:14,CNR1386687669,CUST54756,Prime Plus,Varthur,Brookefield,3.15,8.94,0,,No,No,No,0,,0,,357.91,8.1,4.7,3.7,Success
27-10-2025,09:05,CNR9099517510,CUST28170,Auto,KR Puram,Nagawara,,,0,,No,No,No,1,Customer Sick/Coughing,0,,425.9,11.4,,,Cancelled by Driver
27-10-2025,07:55,CNR9794026827,CUST15537,Auto,Banashankari,Sarjapur Road,,,1,Change of Plans,No,No,No,0,,0,,867.84,2.61,,,Cancelled by Customer
31-10-2025,03:24,CNR2825106017,CUST39641,Auto,Cox Town,Brookefield,8.89,17.12,0,,No,No,No,0,,0,,363.9,13.28,3.8,3.5,Success
10-10-2025,08:29,CNR1965846521,CUST47069,Prime Plus,Frazer Town,Hebbal,,,0,,No,No,No,1,Personal Car Issue,0,,590.13,3.56,,,Cancelled by Driver
28-10-2025,20:53,CNR9080198010,CUST76951,Auto,Domlur,Brookefield,,,1,Wrong Address,No,Yes,No,0,,0,,459.98,19.61,,,Cancelled by Customer
28-10-2025,11:10,CNR9364522678,CUST38558,eBike,Rajajinagar,Kundalahalli,,,0,,No,No,No,1,Customer Related Issue,0,,236.37,7.65,,,Cancelled by Driver
16-10-2025,11:22,CNR6109483889,CUST93975,Prime SUV,Bellandur,Mahadevapura,,,0,,No,No,No,0,,1,Customer Demand,996.93,10.63,,,Incomplete
15-10-2025,06:42,CNR5105549510,CUST57110,Auto,Hennur,RT Nagar,5.65,17.1,0,,Yes,No,No,0,,0,,330.96,12.45,4,3.5,Success
